City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
143,Rocky Mount,US,88.36,few clouds,35.9382,-77.7905,Days Inn & Suites by Wyndham Rocky Mount Golden East
150,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
152,Wewak,PG,76.59,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
156,Axim,GH,79.29,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
158,Bambanglipuro,ID,75.67,few clouds,-7.95,110.2833,Puri Brata
164,Qunduz,AF,87.01,clear sky,36.729,68.857,Spin Zar cotton company
168,Amahai,ID,77.18,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
172,Pau Dos Ferros,BR,79.99,broken clouds,-6.1125,-38.2063,Hertz Center Hotel
173,Thinadhoo,MV,82.36,few clouds,0.5333,72.9333,
174,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
175,Tsevie,TG,77.85,scattered clouds,6.4261,1.2133,Hotel Melissa
176,Eyl,SO,78.96,clear sky,7.9803,49.8164,Amiin Hotel
180,Utinga,BR,76.05,broken clouds,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
181,Alofi,NU,76.82,broken clouds,-19.0595,-169.9187,Taloa Heights
183,Lorengau,PG,81.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
189,Sa Kaeo,TH,77.27,overcast clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
191,Tahta,EG,79.34,clear sky,26.7693,31.5021,El Salam Hotel
193,Gazojak,TM,87.35,few clouds,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
198,Pontes E Lacerda,BR,84.34,broken clouds,-15.2261,-59.3353,Hotel Bressan
200,Mogadishu,SO,78.91,scattered clouds,2.0371,45.3438,Hotel Juba
203,Mumford,GH,80.35,few clouds,5.2618,-0.759,Spanish Villa
205,Majene,ID,76.93,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
207,Port Moresby,PG,76.42,broken clouds,-9.4431,147.1797,Lamana Hotel
209,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
213,Pacific Grove,US,79.57,clear sky,36.6177,-121.9166,Lovers Point Inn
215,Mutis,CO,80.15,light rain,6.2262,-77.4044,Paraiso Escondido
216,Sur,OM,83.89,clear sky,22.5667,59.5289,Sur Plaza Hotel
219,Nortelandia,BR,80.42,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
224,Harper,LR,77.76,light rain,4.375,-7.7169,Screensaver
229,Tutoia,BR,79.27,scattered clouds,-2.7619,-42.2744,Pousada Guará's
230,Luwuk,ID,76.1,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
231,Dicabisagan,PH,80.01,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
234,Nago,JP,77.16,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
235,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
236,Chardara,KZ,77.38,clear sky,41.2547,67.9692,Жанаргул
237,Nantucket,US,82.51,clear sky,41.2835,-70.0995,Jared Coffin House
238,Ambon,ID,75.34,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
239,Chapais,CA,80.26,broken clouds,49.7834,-74.8492,Hôtel Opémiska
246,Lethem,GY,78.87,broken clouds,3.3803,-59.7968,Savannah Inn
