City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
133,Kiama,AU,-34.6833,150.8667,55.58,72,87,1.01,overcast clouds
134,Tiksi,RU,71.6872,128.8694,44.6,62,100,1.45,overcast clouds
135,Westport,US,41.1415,-73.3579,93.61,53,1,1.99,clear sky
136,Qaanaaq,GL,77.484,-69.3632,40.42,79,53,5.48,broken clouds
137,Provideniya,RU,64.3833,-173.3,44.71,61,75,4.47,broken clouds
138,Mineral Wells,US,32.8085,-98.1128,87.53,58,20,11.5,few clouds
139,Acajutla,SV,13.5928,-89.8275,90.81,69,55,4.52,broken clouds
140,Pasching,AT,48.2586,14.2042,62.6,90,75,2.3,broken clouds
141,Eenhana,NA,-17.4667,16.3333,60.55,47,22,9.01,few clouds
142,Korem,ET,12.5058,39.5228,60.66,41,55,1.32,broken clouds
143,Rocky Mount,US,35.9382,-77.7905,88.36,55,20,7.34,few clouds
144,Maputo,MZ,-25.9653,32.5892,61.23,79,40,4.61,scattered clouds
145,Luanda,AO,-8.8368,13.2343,73.98,91,59,8.75,broken clouds
146,Olafsvik,IS,64.8945,-23.7142,47.32,87,100,4.38,overcast clouds
147,Bitlis,TR,38.5,42.25,46.96,55,0,3.38,clear sky
148,Sorland,NO,67.667,12.6934,52.38,82,99,5.57,overcast clouds
149,Serov,RU,59.6033,60.5787,52.9,81,58,4.16,broken clouds
150,Touros,BR,-5.1989,-35.4608,76.1,85,14,12.84,few clouds
151,Aklavik,CA,68.2191,-135.0107,47.12,39,13,8.1,few clouds
152,Wewak,PG,-3.5534,143.6268,76.59,93,100,4.81,overcast clouds
153,Narsaq,GL,60.9167,-46.05,55.62,64,100,1.34,overcast clouds
154,Mount Gambier,AU,-37.8333,140.7667,55.31,71,100,18.41,overcast clouds
155,Gawler,AU,-34.6,138.7333,60.82,73,46,17.45,scattered clouds
156,Axim,GH,4.8699,-2.2405,79.29,81,11,9.37,few clouds
157,Boleslawiec,PL,51.2642,15.5697,64.08,80,20,4.52,few clouds
158,Bambanglipuro,ID,-7.95,110.2833,75.67,91,16,2.39,few clouds
159,Beyneu,KZ,45.3167,55.2,66.13,49,1,10.63,clear sky
160,Geraldton,AU,-28.7667,114.6,56.12,82,93,18.59,overcast clouds
161,Tyukhtet,RU,56.5389,89.3011,53.76,96,100,12.12,overcast clouds
162,Saldanha,ZA,-33.0117,17.9442,57.25,39,3,23.87,clear sky
163,Navahrudak,BY,53.6,25.8333,54.14,91,53,6.87,broken clouds
164,Qunduz,AF,36.729,68.857,87.01,12,0,2.66,clear sky
165,Sarkand,KZ,45.41,79.9186,55.56,46,28,4.41,scattered clouds
166,College,US,64.8569,-147.8028,69.75,40,75,5.75,broken clouds
167,Fairbanks,US,64.8378,-147.7164,69.76,41,90,11.5,light rain
168,Amahai,ID,-3.3333,128.9167,77.18,87,98,3.02,overcast clouds
169,Lokosovo,RU,61.1333,74.8167,39.72,65,14,4.36,few clouds
170,Saskylakh,RU,71.9167,114.0833,38.26,60,72,4.29,broken clouds
171,Qaqortoq,GL,60.7167,-46.0333,55.9,76,100,4.45,overcast clouds
172,Pau Dos Ferros,BR,-6.1125,-38.2063,79.99,55,52,5.68,broken clouds
173,Thinadhoo,MV,0.5333,72.9333,82.36,75,15,11.92,few clouds
174,Road Town,VG,18.4167,-64.6167,82.49,78,40,11.5,scattered clouds
175,Tsevie,TG,6.4261,1.2133,77.85,83,26,7.18,scattered clouds
176,Eyl,SO,7.9803,49.8164,78.96,85,1,21.54,clear sky
177,Souillac,MU,-20.5167,57.5167,71.37,84,58,11.56,light rain
178,Providencia,MX,28.7167,-111.5833,102.47,22,11,11.01,few clouds
179,Pangnirtung,CA,66.1451,-65.7125,34.27,90,21,3.49,few clouds
180,Utinga,BR,-5.8172,-35.3954,76.05,88,75,4.61,broken clouds
181,Alofi,NU,-19.0595,-169.9187,76.82,59,60,10.31,broken clouds
182,Adrar,MR,20.5022,-10.0711,96.75,12,86,12.71,overcast clouds
183,Lorengau,PG,-2.0226,147.2712,81.77,74,92,5.61,overcast clouds
184,Vardo,NO,70.3705,31.1107,37.6,74,6,3.65,clear sky
185,Port Pirie,AU,-33.1833,138.0167,55.49,62,7,21.81,clear sky
186,Lasa,IT,46.6166,10.7002,63.48,94,100,3.31,overcast clouds
187,Sisimiut,GL,66.9395,-53.6735,43.0,82,100,3.18,overcast clouds
188,Acari,PE,-15.4311,-74.6158,71.4,63,4,6.82,clear sky
189,Sa Kaeo,TH,13.75,102.3333,77.27,88,100,5.44,overcast clouds
190,Bosaso,SO,11.2842,49.1816,93.45,37,0,13.13,clear sky
191,Tahta,EG,26.7693,31.5021,79.34,22,5,14.05,clear sky
192,Havre,FR,49.5833,0.3333,55.44,94,0,2.91,clear sky
193,Gazojak,TM,41.1875,61.4036,87.35,21,13,12.15,few clouds
194,Chokurdakh,RU,70.6333,147.9167,38.05,71,99,6.13,overcast clouds
195,Richards Bay,ZA,-28.783,32.0377,58.53,79,0,7.27,clear sky
196,Pevek,RU,69.7008,170.3133,47.37,68,35,12.77,scattered clouds
197,Krasnokamensk,RU,50.0979,118.0369,62.44,47,0,3.18,clear sky
198,Pontes E Lacerda,BR,-15.2261,-59.3353,84.34,40,64,0.38,broken clouds
199,Mar Del Plata,AR,-38.0023,-57.5575,54.12,69,0,7.0,clear sky
200,Mogadishu,SO,2.0371,45.3438,78.91,88,48,20.56,scattered clouds
201,Dikson,RU,73.5069,80.5464,29.41,90,100,11.92,overcast clouds
202,Krasnoselkup,RU,65.7,82.4667,32.77,80,41,7.02,scattered clouds
203,Mumford,GH,5.2618,-0.759,80.35,82,16,11.34,few clouds
204,Abu Dhabi,AE,24.4667,54.3667,91.42,79,0,10.04,clear sky
205,Majene,ID,-3.5403,118.9707,76.93,87,90,5.66,overcast clouds
206,Aykhal,RU,66.0,111.5,36.97,79,92,25.3,overcast clouds
207,Port Moresby,PG,-9.4431,147.1797,76.42,94,75,3.44,broken clouds
208,Kungurtug,RU,50.5994,97.5228,36.63,94,100,2.66,overcast clouds
209,Cayenne,GF,4.9333,-52.3333,79.09,86,0,6.78,clear sky
210,Katsuura,JP,35.1333,140.3,71.71,90,99,2.15,overcast clouds
211,Port Elizabeth,ZA,-33.918,25.5701,63.3,27,0,10.16,clear sky
212,Ponta Delgada,PT,37.7333,-25.6667,65.12,88,20,5.75,few clouds
213,Pacific Grove,US,36.6177,-121.9166,79.57,70,1,11.01,clear sky
214,Haverhill,US,42.7762,-71.0773,93.38,56,1,1.01,clear sky
215,Mutis,CO,6.2262,-77.4044,80.15,85,97,5.68,light rain
216,Sur,OM,22.5667,59.5289,83.89,78,0,13.09,clear sky
217,Calella,ES,41.618,2.6678,71.01,94,85,5.55,overcast clouds
218,Kamina,CD,-8.7386,24.9906,62.83,67,31,3.62,scattered clouds
219,Nortelandia,BR,-14.4547,-56.8028,80.42,46,93,3.2,overcast clouds
220,Margate,GB,51.3813,1.3862,62.69,85,57,1.99,broken clouds
221,Alyangula,AU,-13.8483,136.4192,74.37,79,58,8.86,broken clouds
222,Severnoye,RU,56.3491,78.3619,53.13,87,26,7.72,scattered clouds
223,Christchurch,NZ,-43.5333,172.6333,49.91,97,75,1.99,broken clouds
224,Harper,LR,4.375,-7.7169,77.76,89,100,10.69,light rain
225,Bereda,ES,43.2686,-7.5406,56.95,99,63,3.74,broken clouds
226,Saint-Francois,FR,46.4154,3.9054,61.48,93,90,3.44,overcast clouds
227,Muros,ES,42.7762,-9.0603,61.09,78,53,10.31,broken clouds
228,Airai,TL,-8.9266,125.4092,55.11,78,54,2.71,broken clouds
229,Tutoia,BR,-2.7619,-42.2744,79.27,77,37,6.29,scattered clouds
230,Luwuk,ID,-0.9516,122.7875,76.1,77,75,3.6,broken clouds
231,Dicabisagan,PH,17.0818,122.4157,80.01,85,100,3.78,overcast clouds
232,Daigo,JP,36.7667,140.35,70.18,77,100,0.56,overcast clouds
233,Guerrero Negro,MX,27.9769,-114.0611,71.19,57,83,16.11,broken clouds
234,Nago,JP,26.5881,127.9761,77.16,94,100,9.13,light rain
235,Saint-Georges,GD,12.0564,-61.7485,82.08,74,20,11.5,few clouds
236,Chardara,KZ,41.2547,67.9692,77.38,43,0,9.1,clear sky
237,Nantucket,US,41.2835,-70.0995,82.51,80,1,10.36,clear sky
238,Ambon,ID,-3.6954,128.1814,75.34,100,75,9.35,broken clouds
239,Chapais,CA,49.7834,-74.8492,80.26,30,64,8.19,broken clouds
240,Mandalgovi,MN,45.7625,106.2708,44.62,78,5,20.42,clear sky
241,Vostok,RU,46.4856,135.8833,55.89,70,79,3.22,broken clouds
242,Longyearbyen,SJ,78.2186,15.6401,39.04,65,0,12.66,clear sky
243,Baykit,RU,61.67,96.37,36.39,67,56,3.06,broken clouds
244,Jablah,SY,35.3614,35.9256,70.21,55,0,3.71,clear sky
245,Sitka,US,57.0531,-135.33,53.49,71,90,4.61,light rain
246,Lethem,GY,3.3803,-59.7968,78.87,82,80,9.35,broken clouds
247,Neiafu,TO,-18.65,-173.9833,81.28,74,20,9.22,few clouds
248,Naze,JP,28.3667,129.4833,74.32,92,100,4.29,moderate rain
249,Monrovia,LR,6.3005,-10.7969,76.77,85,97,8.77,moderate rain
250,Bamnet Narong,TH,15.4992,101.6897,81.72,81,100,7.05,overcast clouds
251,Napier,NZ,-39.4833,176.9167,61.25,90,100,8.84,overcast clouds
252,Athabasca,CA,54.7169,-113.2854,69.49,33,85,10.16,overcast clouds
253,Gobabis,NA,-22.45,18.9667,46.89,57,0,12.48,clear sky
254,Bandarbeyla,SO,9.4942,50.8122,78.89,88,1,25.48,clear sky
255,East London,ZA,-33.0153,27.9116,62.58,39,0,9.62,clear sky
256,Grand-Lahou,CI,5.1367,-5.0242,79.57,84,70,10.09,broken clouds
257,Auki,SB,-8.7676,160.7034,82.18,74,8,2.95,clear sky
258,Georgetown,MY,5.4112,100.3354,79.9,90,20,2.39,few clouds
259,Grindavik,IS,63.8424,-22.4338,48.67,87,75,14.79,broken clouds
260,Aksarka,RU,66.5606,67.7975,33.8,68,14,3.24,few clouds
261,Huarmey,PE,-10.0681,-78.1522,68.49,75,95,8.88,overcast clouds
262,Soni,TZ,-4.85,38.3667,57.83,91,5,1.61,clear sky
263,Frontera,MX,26.9333,-101.45,109.33,10,40,0.0,scattered clouds
264,Progreso,MX,21.2833,-89.6667,99.1,75,80,18.81,broken clouds
265,Coquimbo,CL,-29.9533,-71.3436,55.13,87,90,5.7,overcast clouds
266,Cetraro,IT,39.5166,15.9416,66.2,70,11,2.89,few clouds
267,Iskateley,RU,67.6803,53.1512,33.98,79,94,13.13,overcast clouds
268,Jonkoping,SE,57.7814,14.1562,56.91,76,67,0.0,broken clouds
269,Teguldet,RU,57.3064,88.1667,55.04,94,100,9.1,overcast clouds
270,Doha,QA,25.2867,51.5333,93.18,62,0,4.61,haze
271,Jiazi,CN,22.8779,116.067,75.87,83,26,15.52,scattered clouds
272,Samarai,PG,-10.6167,150.6667,78.66,87,100,15.9,overcast clouds
273,Lakselv,NO,70.0513,24.9718,48.74,75,48,2.3,scattered clouds
274,Opuwo,NA,-18.0607,13.84,56.95,44,1,4.59,clear sky
275,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.87,76,100,7.52,light rain
276,San Quintin,MX,30.4833,-115.95,66.11,63,14,11.99,few clouds
277,Balabac,PH,7.9868,117.0645,82.53,80,100,8.12,overcast clouds
278,Talnakh,RU,69.4865,88.3972,31.42,98,100,4.41,light snow
279,Buin,CL,-33.7333,-70.75,63.05,54,100,2.55,overcast clouds
280,Guarapari,BR,-20.6667,-40.4975,73.29,85,100,10.74,overcast clouds
281,Tecolutla,MX,20.4833,-97.0167,94.86,66,28,13.98,scattered clouds
282,Jackson,US,42.4165,-122.8345,72.16,35,1,18.41,clear sky
283,Sobolevo,RU,54.4299,31.8996,54.86,92,55,6.26,broken clouds
284,Soderhamn,SE,61.3037,17.0592,62.04,71,89,1.88,overcast clouds
285,Kodiak,US,57.79,-152.4072,55.63,53,14,6.8,few clouds
286,Midleton,IE,51.9153,-8.1805,52.07,91,100,3.78,overcast clouds
287,Tongzi,CN,28.7829,105.0877,73.98,70,100,3.09,overcast clouds
288,Kutum,SD,14.2,24.6667,79.7,16,8,8.77,clear sky
289,Paamiut,GL,61.994,-49.6678,38.21,98,100,1.5,moderate rain
290,Ancud,CL,-41.8697,-73.8203,52.23,83,100,16.13,light rain
291,Lukiv,UA,51.0521,25.4006,58.17,91,63,7.02,broken clouds
292,Kongolo,CD,-5.3833,27.0,72.48,64,91,2.82,overcast clouds
293,Jumla,NP,29.2747,82.1838,54.99,87,20,3.47,few clouds
294,Kudahuvadhoo,MV,2.6708,72.8944,82.72,75,52,14.25,broken clouds
295,Vanavara,RU,60.34,102.2797,39.78,62,64,3.87,broken clouds
296,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,43.39,100,90,1.88,overcast clouds
297,Christiansburg,US,37.1298,-80.4089,84.4,73,75,5.75,broken clouds
298,Sinnar,SD,13.5691,33.5672,88.68,37,99,15.14,overcast clouds
299,Ketchikan,US,55.3422,-131.6461,53.58,93,90,13.8,mist
