City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Kahului,US,2021-06-06 16:49:59,20.8947,-156.47,75.85,77,20,10.36
107,Faanui,PF,2021-06-06 16:51:16,-16.4833,-151.75,80.56,73,1,11.27
108,Butaritari,KI,2021-06-06 16:51:16,3.0707,172.7902,81.88,74,8,7.72
109,Nanortalik,GL,2021-06-06 16:51:16,60.1432,-45.2371,45.84,67,100,11.79
110,Upernavik,GL,2021-06-06 16:51:17,72.7868,-56.1549,37.08,83,14,3.74
111,Heidenau,DE,2021-06-06 16:51:17,50.9722,13.8674,78.15,42,0,5.37
112,Abha,SA,2021-06-06 16:51:17,18.2164,42.5053,76.82,57,20,4.7
113,Hasaki,JP,2021-06-06 16:51:18,35.7333,140.8333,66.49,89,100,4.56
114,Bodmin,GB,2021-06-06 16:51:18,50.4715,-4.7243,65.44,77,20,5.3
115,Zhangye,CN,2021-06-06 16:51:19,38.9342,100.4517,66.09,41,77,3.04
116,Songjianghe,CN,2021-06-06 16:51:19,42.1859,127.479,47.52,97,35,3.47
117,Arraial Do Cabo,BR,2021-06-06 16:51:19,-22.9661,-42.0278,84.16,58,0,10.36
118,Qasigiannguit,GL,2021-06-06 16:51:20,68.8193,-51.1922,38.39,83,82,4.54
119,Ternate,ID,2021-06-06 16:51:20,0.8,127.4,80.73,78,100,1.59
120,Libertador General San Martin,AR,2021-06-06 16:51:20,-23.8064,-64.7876,65.97,95,100,2.66
121,Piranshahr,IR,2021-06-06 16:51:21,36.701,45.1413,61.68,30,0,8.46
122,Santa Pola,ES,2021-06-06 16:51:21,38.1917,-0.5658,82.92,71,20,5.99
123,Vila Velha,BR,2021-06-06 16:50:03,-20.3297,-40.2925,78.94,75,40,8.99
124,Doha,QA,2021-06-06 16:49:21,25.2867,51.5333,97.11,79,20,4.61
125,Chapais,CA,2021-06-06 16:47:45,49.7834,-74.8492,67.78,38,45,7.92
126,Tecoanapa,MX,2021-06-06 16:51:22,16.5167,-98.75,86.72,66,100,5.99
127,Trairi,BR,2021-06-06 16:51:22,-3.2778,-39.2689,87.69,55,45,10.09
128,Vostochnyy,RU,2021-06-06 16:51:22,55.8167,37.8667,66.38,86,99,5.14
129,Kieta,PG,2021-06-06 16:51:23,-6.2167,155.6333,78.06,86,23,5.17
130,Margate,GB,2021-06-06 16:51:23,51.3813,1.3862,69.96,81,45,7.76
131,Namatanai,PG,2021-06-06 16:51:23,-3.6667,152.4333,78.98,84,100,5.28
132,Avarua,CK,2021-06-06 16:48:49,-21.2078,-159.775,68.05,83,40,3.44
133,Nanuque,BR,2021-06-06 16:51:24,-17.8392,-40.3539,78.42,67,69,10.2
134,College,US,2021-06-06 16:51:24,64.8569,-147.8028,59.09,63,40,4.61
135,Papara,BR,2021-06-06 16:51:25,-3.9839,-38.7273,86.4,57,48,6.26
136,Chaihe,CN,2021-06-06 16:51:25,44.7667,129.7,50.22,92,8,2.21
137,Badvel,IN,2021-06-06 16:51:25,14.75,79.05,87.42,57,60,1.32
138,Saint-Pierre,RE,2021-06-06 16:51:26,-21.3393,55.4781,73.08,80,75,6.91
139,Itoman,JP,2021-06-06 16:51:26,26.1247,127.6694,79.57,92,75,6.91
140,Altay,CN,2021-06-06 16:51:27,47.8667,88.1167,53.76,37,2,4.99
141,Warrington,GB,2021-06-06 16:51:27,53.3925,-2.5802,71.13,56,20,1.99
142,Komsomolskoye,RU,2021-06-06 16:51:27,55.2567,47.5461,62.51,81,35,4.7
143,Bubaque,GW,2021-06-06 16:51:28,11.2833,-15.8333,80.11,82,7,11.95
144,Provideniya,RU,2021-06-06 16:51:28,64.3833,-173.3,37.51,67,13,4.99
145,Erzin,TR,2021-06-06 16:51:28,36.9559,36.2,79.32,68,0,8.5
146,Te Anau,NZ,2021-06-06 16:51:29,-45.4167,167.7167,36.37,93,21,1.1
147,Aklavik,CA,2021-06-06 16:51:29,68.2191,-135.0107,34.63,80,75,5.75
148,Priladozhskiy,RU,2021-06-06 16:51:29,59.85,31.4833,71.26,65,9,5.01
149,Port Hedland,AU,2021-06-06 16:51:30,-20.3167,118.5667,71.65,68,40,4.61
150,Hilo,US,2021-06-06 16:49:25,19.7297,-155.09,73.27,81,90,5.75
151,Hami,CN,2021-06-06 16:51:30,42.8,93.45,70.48,13,22,15.55
152,Narsaq,GL,2021-06-06 16:51:30,60.9167,-46.05,47.21,64,100,3.33
153,Avera,US,2021-06-06 16:51:31,33.194,-82.5271,88.92,43,87,4.68
154,Pangody,RU,2021-06-06 16:51:31,65.85,74.4859,38.5,61,79,9.73
155,Isla Mujeres,MX,2021-06-06 16:50:02,21.2311,-86.731,84.16,72,99,12.88
156,Wicklow,IE,2021-06-06 16:51:32,53.0,-6.4167,58.59,74,92,2.39
157,Albuquerque,US,2021-06-06 16:47:34,35.0845,-106.6511,90.63,26,40,1.99
158,Grand Gaube,MU,2021-06-06 16:51:32,-20.0064,57.6608,73.8,83,43,1.01
159,Kruisfontein,ZA,2021-06-06 16:51:32,-34.0033,24.7314,63.88,20,0,6.55
160,Taganak,PH,2021-06-06 16:51:33,6.0833,118.3,78.94,72,99,5.53
161,Yambio,SS,2021-06-06 16:51:33,4.5721,28.3955,70.39,94,28,4.76
162,Coihaique,CL,2021-06-06 16:51:33,-45.5752,-72.0662,45.21,76,75,8.05
163,Zigong,CN,2021-06-06 16:51:34,29.3416,104.7769,78.48,61,86,3.76
164,Road Town,VG,2021-06-06 16:51:34,18.4167,-64.6167,84.29,78,40,11.5
165,Namibe,AO,2021-06-06 16:51:34,-15.1961,12.1522,79.43,73,0,11.5
166,Castro,BR,2021-06-06 16:51:35,-24.7911,-50.0119,74.88,43,93,6.64
167,Hvolsvollur,IS,2021-06-06 16:51:35,63.7533,-20.2243,48.87,80,100,8.34
168,Naze,JP,2021-06-06 16:51:35,28.3667,129.4833,68.47,92,100,2.57
169,Srednekolymsk,RU,2021-06-06 16:51:36,67.45,153.6833,59.13,50,42,7.54
170,Muros,ES,2021-06-06 16:51:36,42.7762,-9.0603,78.67,57,66,14.72
171,Iberia,US,2021-06-06 16:51:36,29.9502,-91.7507,87.98,89,90,15.12
172,Broome,US,2021-06-06 16:51:37,42.2506,-75.833,87.46,49,40,3.0
173,Saint Anthony,US,2021-06-06 16:51:37,45.0205,-93.218,87.1,46,1,7.0
174,Yining,CN,2021-06-06 16:51:37,29.0361,114.5636,69.35,85,95,2.46
175,Balakhninskiy,RU,2021-06-06 16:51:38,58.0106,114.2769,46.47,95,100,5.55
176,Puerto Escondido,MX,2021-06-06 16:51:38,15.85,-97.0667,88.23,64,84,5.7
177,Ukiah,US,2021-06-06 16:51:38,39.1502,-123.2078,83.12,39,1,4.61
178,Ojinaga,MX,2021-06-06 16:51:39,29.5667,-104.4167,96.57,12,1,10.36
179,Husavik,IS,2021-06-06 16:51:39,66.0449,-17.3389,60.71,62,68,10.13
180,Otautau,NZ,2021-06-06 16:51:40,-46.15,168.0,39.83,95,59,1.48
181,Gat,IL,2021-06-06 16:51:40,31.61,34.7642,76.82,50,0,8.72
182,Touros,BR,2021-06-06 16:51:40,-5.1989,-35.4608,76.1,71,41,14.76
183,Cienfuegos,CU,2021-06-06 16:51:41,22.1461,-80.4356,90.23,54,71,10.89
184,Whitianga,NZ,2021-06-06 16:51:41,-36.8333,175.7,57.02,90,100,18.3
185,Segovia,ES,2021-06-06 16:51:41,41.1667,-4.0,79.99,37,10,9.62
186,Port Lincoln,AU,2021-06-06 16:51:42,-34.7333,135.8667,59.18,56,70,18.39
187,Leshukonskoye,RU,2021-06-06 16:51:42,64.8989,45.7622,50.72,38,16,11.7
188,Betare Oya,CM,2021-06-06 16:51:42,5.6,14.0833,72.61,90,82,3.6
189,Georgetown,MY,2021-06-06 16:50:06,5.4112,100.3354,81.95,87,20,2.3
190,Matagami,CA,2021-06-06 16:51:43,49.7502,-77.6328,69.91,60,1,7.11
191,Airai,TL,2021-06-06 16:51:43,-8.9266,125.4092,55.99,87,98,2.73
192,Xuddur,SO,2021-06-06 16:51:44,4.1213,43.8894,84.47,39,97,9.82
193,Manono,CD,2021-06-06 16:51:44,-7.3,27.4167,80.06,45,100,7.34
194,Zhanakorgan,KZ,2021-06-06 16:51:44,43.9098,67.2495,84.42,31,29,8.68
195,Belmonte,BR,2021-06-06 16:51:45,-15.8631,-38.8828,84.2,66,30,9.17
196,Komsomolskiy,UZ,2021-06-06 16:51:45,40.4272,71.7189,89.02,29,56,6.91
197,Russell,US,2021-06-06 16:51:45,32.3502,-85.1999,85.71,65,75,3.04
198,Mporokoso,ZM,2021-06-06 16:51:46,-9.3727,30.125,63.57,64,99,9.35
199,Ngama,TD,2021-06-06 16:51:46,11.7833,17.1667,98.08,24,76,4.61
200,Norman Wells,CA,2021-06-06 16:50:36,65.282,-126.8329,44.64,87,90,12.66
201,Bestobe,KZ,2021-06-06 16:51:47,52.4994,73.0975,61.63,39,1,3.65
202,Anderson Mill,US,2021-06-06 16:51:47,30.4549,-97.8058,83.46,78,90,3.0
203,Ambulu,ID,2021-06-06 16:51:47,-8.345,113.6058,76.08,91,78,1.23
204,Vestmannaeyjar,IS,2021-06-06 16:51:48,63.4427,-20.2734,49.19,93,75,11.5
205,Hay River,CA,2021-06-06 16:51:48,60.8156,-115.7999,40.98,75,75,14.97
206,Markova,UA,2021-06-06 16:51:48,48.6758,24.4138,67.59,87,10,5.01
207,Aksu,CN,2021-06-06 16:51:49,41.1231,80.2644,82.4,18,100,9.22
208,Conde,BR,2021-06-06 16:51:49,-7.2597,-34.9075,80.06,100,75,14.52
209,Boyuibe,BO,2021-06-06 16:51:50,-20.4167,-63.2833,75.11,53,89,2.3
210,Kovdor,RU,2021-06-06 16:51:50,67.5662,30.4758,58.19,31,7,8.59
211,Atasu,KZ,2021-06-06 16:51:50,48.6814,71.6433,62.49,31,88,9.69
212,Rocha,UY,2021-06-06 16:51:51,-34.4833,-54.3333,57.02,64,2,8.43
213,Tiksi,RU,2021-06-06 16:51:51,71.6872,128.8694,42.17,69,88,7.38
214,Petropavlovsk-Kamchatskiy,RU,2021-06-06 16:51:51,53.0452,158.6483,41.59,100,90,2.3
215,Uyovu,TZ,2021-06-06 16:51:52,-3.2833,31.5258,71.17,58,97,2.37
216,Moranbah,AU,2021-06-06 16:51:52,-22.0016,148.0466,51.35,71,26,9.01
217,Havelock,US,2021-06-06 16:49:09,34.8791,-76.9013,86.02,75,40,5.01
218,Meulaboh,ID,2021-06-06 16:51:52,4.1363,96.1285,76.21,87,100,4.43
219,Cayenne,GF,2021-06-06 16:51:53,4.9333,-52.3333,84.09,77,75,3.0
220,Ames,US,2021-06-06 16:51:53,42.0347,-93.6199,84.45,55,1,13.8
221,Port Elizabeth,ZA,2021-06-06 16:51:54,-33.918,25.5701,66.09,59,0,4.61
222,Yurty,RU,2021-06-06 16:51:54,56.0498,97.6348,46.78,86,35,9.93
223,Kathu,TH,2021-06-06 16:51:54,7.9178,98.3332,88.63,68,84,14.85
224,Kloulklubed,PW,2021-06-06 16:51:54,7.0419,134.2556,82.33,77,99,7.07
225,Bethel,US,2021-06-06 16:51:55,41.3712,-73.414,92.91,48,1,1.99
226,Tumaco,CO,2021-06-06 16:51:55,1.7986,-78.8156,78.44,88,100,8.46
227,Guanare,VE,2021-06-06 16:51:56,9.0418,-69.7421,78.82,94,100,5.75
228,Miura,JP,2021-06-06 16:51:56,35.14,139.6192,71.98,94,99,8.75
229,Borovoy,RU,2021-06-06 16:51:56,55.4333,86.0833,56.48,94,40,6.38
230,Gambela,ET,2021-06-06 16:51:57,8.25,34.5833,75.72,85,67,0.11
231,Tuzha,RU,2021-06-06 16:51:57,57.6062,47.936,62.33,67,24,2.53
232,Cabinda,AO,2021-06-06 16:51:57,-5.55,12.2,82.54,78,0,6.91
233,Hovd,MN,2021-06-06 16:51:58,48.0056,91.6419,49.24,36,10,6.73
234,Shieli,KZ,2021-06-06 16:51:58,44.1667,66.75,86.05,26,26,11.21
